9s_(nier:automata), nier_(series), 1boy, white_hair, covered_eyes
accelerator_(toaru_majutsu_no_index), toaru_majutsu_no_index, 1boy, white_hair, red_eyes
admiral_(kancolle), kantai_collection, 1boy, brown_hair, brown_eyes
aether_(genshin_impact), genshin_impact, 1boy, blonde_hair, yellow_eyes
akizuki_ryo, idolmaster, 1boy, brown_hair, brown_eyes
albedo_(genshin_impact), genshin_impact, 1boy, blonde_hair, blue_eyes
alhaitham_(genshin_impact), genshin_impact, 1boy, grey_hair, green_eyes
amamiya_ren, persona, 1boy, black_hair, red_eyes
america_(hetalia), axis_powers_hetalia, 1boy, blonde_hair, blue_eyes
araragi_koyomi, monogatari_(series), 1boy, black_hair, yellow_eyes
archer_(fate), fate_(series), 1boy, white_hair, blue_eyes
arjuna_(fate), fate_(series), 1boy, black_hair, black_eyes
armin_arlert, shingeki_no_kyojin, 1boy, blonde_hair, blue_eyes
ash_ketchum, pokemon, 1boy, black_hair, brown_eyes
ashiya_douman_(fate), fate_(series), 1boy, two-tone_hair, black_eyes
astolfo_(fate), fate_(series), 1boy, pink_hair, purple_eyes
astolfo_(sailor_paladin)_(fate), fate_(series), 1boy, pink_hair, purple_eyes
bakugou_katsuki, boku_no_hero_academia, 1boy, blonde_hair, red_eyes
barnaby_brooks_jr., tiger_&_bunny, 1boy, blonde_hair, green_eyes
bede_(pokemon), pokemon, 1boy, purple_eyes, blonde_hair
brendan_(pokemon), pokemon, 1boy, brown_hair, blue_eyes
bridget_(guilty_gear), guilty_gear, 1boy, blonde_hair, aqua_eyes
bruno_bucciarati, jojo_no_kimyou_na_bouken, 1boy, black_hair, blue_eyes
byleth_(male)_(fire_emblem), fire_emblem, 1boy, blue_hair, blue_eyes
caesar_anthonio_zeppeli, jojo_no_kimyou_na_bouken, 1boy, blonde_hair, green_eyes
calem_(pokemon), pokemon, 1boy, black_hair, grey_eyes
chongyun_(genshin_impact), genshin_impact, 1boy, blue_hair, blue_eyes
chris_redfield, resident_evil, 1boy, facial_hair, blue_eyes
cloud_strife, final_fantasy, 1boy, blonde_hair, blue_eyes
commander_(azur_lane), azur_lane, 1boy, black_hair, red_eyes
commander_(girls'_frontline), girls'_frontline, 1boy, brown_hair, blue_eyes
cu_chulainn_(fate), fate_(series), 1boy, blue_hair, red_eyes
cu_chulainn_(fate/stay_night), fate_(series), 1boy, blue_hair, red_eyes
cyno_(genshin_impact), genshin_impact, 1boy, white_hair, red_eyes
dan_heng_(honkai:_star_rail), honkai_(series), 1boy, black_hair, green_eyes
denji_(chainsaw_man), chainsaw_man, 1boy, blonde_hair, yellow_eyes
